0,art_Q2,art_Q5,blue rationality,blue side,first story,gender,red rationality,red side,s0_Q0_irr,s0_Q0_p_a,s0_Q0_p_a_and_b,s0_Q0_p_b,s0_Q2,s0_Q3_irr,s0_Q3_p_a,s0_Q3_p_a_and_c,s0_Q3_p_a_and_d,s0_Q3_p_c,s0_Q3_p_d,s0_Q5,s0_Q6_p_a,s0_Q6_p_a_and_b,s0_Q6_p_a_and_c,s0_Q6_p_a_and_d,s0_Q6_p_b,s0_Q6_p_b_and_c,s0_Q6_p_b_and_d,s0_Q6_p_c,s0_Q6_p_c_and_d,s0_Q6_p_d,s0_Q8_chosen_,s0_choice_equal2,s0_consistent_choice,s0_final_choice,s0_first_choice,s0_irrational_Q1_irr,s0_irrational_Q1_p_c,s0_irrational_Q1_p_c_and_d,s0_irrational_Q1_p_d,s0_irrational_Q4_irr,s0_irrational_Q4_p_b,s0_irrational_Q4_p_b_and_c,s0_irrational_Q4_p_b_and_d,s0_irrational_Q4_p_c,s0_irrational_Q4_p_d,s0_irrational_Q7_p_a,s0_irrational_Q7_p_a_and_b,s0_irrational_Q7_p_a_and_c,s0_irrational_Q7_p_a_and_d,s0_irrational_Q7_p_b,s0_irrational_Q7_p_b_and_c,s0_irrational_Q7_p_b_and_d,s0_irrational_Q7_p_c,s0_irrational_Q7_p_c_and_d,s0_irrational_Q7_p_d,s0_irrational_first_choice,s0_rational_Q1_irr,s0_rational_Q1_p_c,s0_rational_Q1_p_c_and_d,s0_rational_Q1_p_d,s0_rational_Q4_irr,s0_rational_Q4_p_b,s0_rational_Q4_p_b_and_c,s0_rational_Q4_p_b_and_d,s0_rational_Q4_p_c,s0_rational_Q4_p_d,s0_rational_Q7_p_a,s0_rational_Q7_p_a_and_b,s0_rational_Q7_p_a_and_c,s0_rational_Q7_p_a_and_d,s0_rational_Q7_p_b,s0_rational_Q7_p_b_and_c,s0_rational_Q7_p_b_and_d,s0_rational_Q7_p_c,s0_rational_Q7_p_c_and_d,s0_rational_Q7_p_d,s0_rational_first_choice,s1_Q0_irr,s1_Q0_p_a,s1_Q0_p_a_and_b,s1_Q0_p_b,s1_Q2,s1_Q3_irr,s1_Q3_p_a,s1_Q3_p_a_and_c,s1_Q3_p_a_and_d,s1_Q3_p_c,s1_Q3_p_d,s1_Q5,s1_Q6_p_a,s1_Q6_p_a_and_b,s1_Q6_p_a_and_c,s1_Q6_p_a_and_d,s1_Q6_p_b,s1_Q6_p_b_and_c,s1_Q6_p_b_and_d,s1_Q6_p_c,s1_Q6_p_c_and_d,s1_Q6_p_d,s1_Q8_chosen_,s1_choice_equal2,s1_consistent_choice,s1_final_choice,s1_first_choice,s1_irrational_Q1_irr,s1_irrational_Q1_p_c,s1_irrational_Q1_p_c_and_d,s1_irrational_Q1_p_d,s1_irrational_Q4_irr,s1_irrational_Q4_p_b,s1_irrational_Q4_p_b_and_c,s1_irrational_Q4_p_b_and_d,s1_irrational_Q4_p_c,s1_irrational_Q4_p_d,s1_irrational_Q7_p_a,s1_irrational_Q7_p_a_and_b,s1_irrational_Q7_p_a_and_c,s1_irrational_Q7_p_a_and_d,s1_irrational_Q7_p_b,s1_irrational_Q7_p_b_and_c,s1_irrational_Q7_p_b_and_d,s1_irrational_Q7_p_c,s1_irrational_Q7_p_c_and_d,s1_irrational_Q7_p_d,s1_irrational_first_choice,s1_rational_Q1_irr,s1_rational_Q1_p_c,s1_rational_Q1_p_c_and_d,s1_rational_Q1_p_d,s1_rational_Q4_irr,s1_rational_Q4_p_b,s1_rational_Q4_p_b_and_c,s1_rational_Q4_p_b_and_d,s1_rational_Q4_p_c,s1_rational_Q4_p_d,s1_rational_Q7_p_a,s1_rational_Q7_p_a_and_b,s1_rational_Q7_p_a_and_c,s1_rational_Q7_p_a_and_d,s1_rational_Q7_p_b,s1_rational_Q7_p_b_and_c,s1_rational_Q7_p_b_and_d,s1_rational_Q7_p_c,s1_rational_Q7_p_c_and_d,s1_rational_Q7_p_d,s1_rational_first_choice,suspect_Q2,suspect_Q5,user id
26,rational,rational,rational,left,art,f,irrational,right,0.6000000000000001,0.3,0.9,0.8,irrational,0.3,0.9,,0.6,,0.3,rational,9.0,3.0,,7.0,4.0,2.0,6.0,1.0,8.0,5.0,b_and_c,rational,0,b_and_c,c,0.6000000000000001,0.3,0.9,0.3,0.2,0.3,0.4,,0.2,,5,0,4,8,9,1,3,7,6,2,a_and_b,-0.7000000000000001,0.9,0.1,0.8,-0.3,0.5,0.2,,0.7,,6,5,2,1,8,0,3,7,4,9,b_and_c,-0.5,0.5,0.0,0.5,rational,-0.4,0.5,0.1,,0.9,,irrational,9.0,10.0,8.0,7.0,6.0,3.0,4.0,2.0,1.0,5.0,b_and_c,rational,0,b_and_c,c_and_d,0.7,0.2,0.9,0.3,0.5,0.3,,0.8,,0.7,8,0,6,5,2,1,9,4,7,3,a_and_b,-0.4,0.9,0.1,0.5,-0.19999999999999998,0.3,,0.1,,0.3,8,3,7,2,6,0,1,9,4,5,b_and_c,,,027
27,irrational,irrational,rational,left,art,f,irrational,right,0.4,0.6,1.0,0.8,rational,0.19999999999999996,0.9,,0.7,,0.5,rational,4.0,1.0,,7.0,3.0,2.0,6.0,5.0,8.0,9.0,a_and_b,irrational,1,a_and_b,a_and_b,0.7,0.2,0.9,0.2,0.09999999999999998,0.4,0.3,,0.2,,3,0,4,9,7,5,6,1,8,2,a_and_b,-0.4,0.9,0.1,0.5,-0.2,0.5,0.3,,0.8,,6,2,3,5,9,0,4,8,1,7,b_and_c,0.5,0.6,0.9,0.4,irrational,0.30000000000000004,0.5,0.8,,0.5,,irrational,10.0,5.0,2.0,6.5,8.0,1.0,4.0,6.5,3.0,9.0,c,irrational,0,c,b_and_c,0.6000000000000001,0.3,0.9,0.3,0.39999999999999997,0.3,,0.7,,0.7,7,1,2,5,4,6,9,0,8,3,c,-0.19999999999999998,0.9,0.1,0.3,-0.1,0.3,,0.1,,0.2,9,0,4,2,6,7,1,8,3,5,a_and_b,,,028
28,irrational,irrational,rational,left,art,m,irrational,right,0.1,0.1,0.2,0.7,rational,0.4,0.4,,0.5,,0.1,rational,3.0,7.0,,9.0,8.0,6.0,5.0,4.0,1.0,2.0,b,0,0,b,c_and_d,0.6000000000000001,0.3,0.9,0.3,-0.2,0.5,0.3,,0.7,,3,0,7,9,5,1,4,6,8,2,a_and_b,-0.5,0.9,0.3,0.8,-0.10000000000000003,0.4,0.3,,0.6,,7,3,4,1,6,0,2,8,5,9,b_and_c,0.10000000000000003,0.3,0.4,0.3,irrational,0.0,0.3,0.3,,0.4,,rational,1.0,4.0,9.0,6.0,2.0,7.0,8.0,5.0,10.0,3.0,c_and_d,0,0,c_and_d,a,0.6000000000000001,0.3,0.9,0.3,0.6000000000000001,0.3,,0.8,,0.2,8,1,0,7,4,3,9,6,5,2,a_and_c,-0.19999999999999998,0.7,0.1,0.3,-0.09999999999999998,0.3,,0.2,,0.7,8,5,2,0,6,4,1,9,3,7,a_and_d,,,029
29,irrational,irrational,rational,left,art,m,irrational,right,0.30000000000000004,0.5,0.8,0.6,irrational,0.3,0.8,,0.6,,0.3,rational,5.0,6.0,,3.0,4.0,9.0,2.0,8.0,7.0,1.0,a_and_b,irrational,0,a_and_b,d,0.6000000000000001,0.3,0.9,0.3,0.2,0.3,0.5,,0.3,,5,0,8,6,9,1,4,2,7,3,a_and_b,-0.7000000000000001,0.9,0.1,0.8,0.19999999999999996,0.4,0.6,,0.6,,6,2,1,0,7,3,5,8,4,9,a_and_d,-0.10000000000000003,0.4,0.3,0.7,irrational,-0.1,0.2,0.1,,0.9,,rational,2.0,1.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0,c_and_d,0,0,c_and_d,a_and_b,0.6000000000000001,0.3,0.9,0.3,0.39999999999999997,0.4,,0.7,,0.3,9,0,2,1,7,4,5,8,6,3,a_and_b,-0.8,0.9,0.1,0.9,-0.09999999999999998,0.3,,0.2,,0.9,7,4,1,5,6,3,0,8,2,9,b_and_d,,,030
30,irrational,irrational,rational,left,art,m,irrational,right,0.0,0.0,0.0,1.0,irrational,0.1,0.7,,0.2,,0.1,rational,7.0,2.0,,5.0,3.0,1.0,4.0,8.0,6.0,9.0,b_and_c,rational,1,b_and_c,b_and_c,0.7,0.2,0.9,0.2,0.09999999999999998,0.5,0.6,,0.5,,3,0,6,8,9,7,1,4,5,2,a_and_b,-0.7000000000000001,0.9,0.1,0.8,-0.30000000000000004,0.4,0.1,,0.8,,7,1,3,5,6,0,2,9,4,8,b_and_c,-0.5,1.0,0.0,0.5,irrational,-0.5,1.0,0.0,,0.5,,irrational,1.0,10.0,5.0,7.0,3.0,6.0,8.0,2.0,9.0,4.0,a,0,1,a,a,0.6000000000000001,0.3,0.9,0.3,0.39999999999999997,0.3,,0.7,,0.7,8,1,2,6,4,7,9,0,5,3,c,-0.5,0.8,0.3,0.9,-0.2,0.4,,0.2,,0.8,7,3,6,4,5,2,0,8,1,9,b_and_d,,,031
31,rational,rational,rational,left,art,m,irrational,right,0.49999999999999994,0.2,0.7,0.5,irrational,0.49999999999999994,0.2,,0.7,,0.5,rational,8.0,5.0,,9.0,2.0,1.0,3.0,7.0,4.0,6.0,b,irrational,0,b,b_and_c,0.7,0.2,0.9,0.2,-0.2,0.5,0.3,,0.5,,8,2,4,9,0,6,1,5,3,7,b,-0.6,0.9,0.1,0.7,0.0,0.5,0.5,,0.7,,6,4,3,2,8,0,5,7,1,9,b_and_c,-0.09999999999999998,0.8,0.2,0.3,rational,-0.10000000000000003,0.4,0.3,,0.7,,rational,6.0,10.0,5.0,4.0,9.0,8.0,7.0,1.0,3.0,2.0,a_and_d,0,0,a_and_d,c,0.6000000000000001,0.3,0.9,0.3,0.4,0.4,,0.8,,0.4,9,0,3,4,6,5,8,1,7,2,a_and_b,-0.8,0.9,0.1,0.9,-0.30000000000000004,0.4,,0.1,,0.9,8,5,3,1,6,4,0,7,2,9,b_and_d,,,032
32,rational,rational,rational,left,art,m,irrational,right,0.3,0.2,0.5,0.9,rational,-0.2,0.9,,0.3,,0.5,rational,9.0,2.0,,8.0,3.0,1.0,4.0,5.0,6.0,7.0,b_and_c,0,1,b_and_c,b_and_c,0.7,0.3,0.9,0.2,-0.09999999999999998,0.5,0.4,,0.7,,6,8,3,9,0,5,7,2,1,4,b,-0.6000000000000001,0.9,0.3,0.9,0.0,0.5,0.5,,0.8,,6,5,2,1,7,4,0,8,3,9,b_and_d,0.2,0.3,0.5,0.7,rational,-0.19999999999999998,0.3,0.1,,0.8,,rational,1.0,2.0,4.0,3.0,9.0,8.0,6.0,10.0,7.0,5.0,c,irrational,0,c,a,0.6000000000000001,0.3,0.9,0.3,0.4,0.4,,0.8,,0.6,9,1,2,3,4,5,6,0,8,7,c,-0.19999999999999998,0.8,0.1,0.3,0.09999999999999998,0.4,,0.3,,0.2,8,4,5,0,6,3,2,9,1,7,a_and_d,,,033
33,rational,rational,rational,left,art,m,irrational,right,0.5,0.1,0.6,0.3,rational,0.8,0.1,,0.9,,0.5,irrational,5.0,6.0,,4.0,3.0,9.0,2.0,8.0,7.0,1.0,b_and_c,rational,0,b_and_c,d,0.7,0.2,0.9,0.2,-0.2,0.5,0.3,,0.6,,3,2,7,8,6,0,5,4,9,1,b_and_c,-0.4,0.9,0.1,0.5,0.09999999999999998,0.5,0.6,,0.6,,6,5,3,2,8,0,1,7,4,9,b_and_c,-0.1,0.2,0.1,0.7,rational,0.0,0.1,0.1,,0.8,,rational,1.0,3.0,4.0,2.0,7.0,5.0,6.0,9.0,10.0,8.0,c_and_d,rational,0,c_and_d,a,0.6000000000000001,0.3,0.9,0.3,0.5,0.4,,0.8,,0.3,8,2,1,4,3,5,9,7,6,0,d,-0.1,0.9,0.1,0.2,-0.09999999999999998,0.3,,0.2,,0.4,9,1,5,2,7,3,4,8,0,6,c_and_d,,,034
34,irrational,irrational,rational,left,art,f,irrational,right,0.7000000000000001,0.1,0.8,0.1,rational,0.39999999999999997,0.2,,0.6,,0.2,irrational,6.0,2.0,,8.0,3.0,1.0,4.0,5.0,7.0,9.0,b_and_c,irrational,1,b_and_c,b_and_c,0.7,0.2,0.9,0.2,0.19999999999999996,0.5,0.7,,0.6,,8,3,1,9,2,0,6,4,7,5,b_and_c,-0.3,0.9,0.2,0.5,-0.19999999999999998,0.3,0.1,,0.8,,8,2,0,5,7,3,4,9,1,6,a_and_c,-0.1,0.7,0.1,0.2,irrational,0.30000000000000004,0.1,0.4,,0.5,,rational,9.0,10.0,3.0,2.0,8.0,4.0,5.0,7.0,1.0,6.0,b_and_d,rational,0,b_and_d,c_and_d,0.7,0.2,0.9,0.3,0.39999999999999997,0.3,,0.6,,0.2,9,0,6,4,3,5,7,1,8,2,a_and_b,-0.1,0.9,0.1,0.2,-0.19999999999999998,0.3,,0.1,,0.6,8,1,7,2,6,3,0,9,4,5,b_and_d,,,035
35,,,irrational,left,suspect,m,rational,right,0.39999999999999997,0.9,0.7,0.3,rational,0.0,0.7,0.7,,0.7,,irrational,9.0,4.0,8.0,5.0,2.0,6.0,3.0,10.0,7.0,1.0,a_and_c,rational,0,a_and_c,d,0.7,0.3,0.9,0.2,0.6000000000000001,0.3,,0.8,,0.2,9,0,8,5,3,4,6,7,2,1,a_and_b,-0.4,0.5,0.1,0.9,0.0,0.3,,0.3,,0.9,8,1,0,2,5,7,4,6,3,9,a_and_c,0.4,0.6,1.0,0.8,irrational,0.3,0.8,,0.5,,0.2,irrational,4.0,8.0,,2.0,6.0,9.0,7.0,5.0,3.0,1.0,b_and_c,irrational,0,b_and_c,d,0.6000000000000001,0.3,0.9,0.3,0.19999999999999996,0.5,0.7,,0.7,,8,5,1,9,2,0,4,6,3,7,b_and_c,-0.5,0.8,0.3,0.8,-0.10000000000000003,0.4,0.3,,0.8,,7,4,5,2,9,1,3,6,0,8,c_and_d,irrational,irrational,036
36,,,irrational,left,suspect,m,rational,right,0.0,0.3,0.3,0.8,rational,0.0,0.3,0.3,,0.8,,irrational,1.0,2.0,3.0,5.0,6.0,4.0,10.0,9.0,7.0,8.0,c_and_d,0,0,c_and_d,a,0.6000000000000001,0.3,0.9,0.3,0.6000000000000001,0.3,,0.9,,0.7,9,1,3,2,5,4,6,0,7,8,c,-0.6,0.7,0.1,0.7,-0.30000000000000004,0.4,,0.1,,0.8,8,0,7,6,5,2,1,4,3,9,a_and_b,0.10000000000000003,0.3,0.4,0.8,irrational,0.0,0.2,,0.2,,0.8,irrational,2.0,7.0,,6.0,3.0,9.0,8.0,4.0,5.0,1.0,a_and_b,rational,0,a_and_b,d,0.7,0.2,0.9,0.2,0.39999999999999997,0.3,0.6,,0.2,,7,0,3,9,5,1,6,8,4,2,a_and_b,-0.1,0.2,0.1,0.9,-0.1,0.3,0.1,,0.2,,6,0,3,1,8,4,5,7,2,9,a_and_b,irrational,irrational,037
37,,,irrational,left,suspect,f,rational,right,0.3,0.0,0.3,0.7,rational,0.4,0.1,0.5,,0.2,,rational,2.5,2.5,7.5,2.5,7.5,2.5,9.5,5.5,5.5,9.5,d,0,0,d,a,0.7,0.2,0.9,0.2,0.39999999999999997,0.4,,0.7,,0.3,9,0,6,1,7,3,4,5,8,2,a_and_b,-0.6000000000000001,0.9,0.3,0.9,-0.19999999999999998,0.3,,0.1,,0.9,7,2,6,3,4,0,1,8,5,9,b_and_c,0.5,0.1,0.6,0.3,irrational,0.4,0.1,,0.5,,0.4,irrational,2.0,9.0,,3.5,7.5,7.5,6.0,1.0,5.0,3.5,b_and_c,rational,0,b_and_c,c,0.6000000000000001,0.3,0.9,0.3,-0.09999999999999998,0.5,0.4,,0.7,,2,0,9,7,6,5,4,3,8,1,a_and_b,-0.1,0.8,0.1,0.2,0.0,0.3,0.3,,0.5,,6,9,4,2,8,0,3,7,1,5,b_and_c,irrational,irrational,038
38,,,irrational,left,suspect,m,rational,right,-0.19999999999999998,0.3,0.1,0.6,irrational,0.1,0.1,0.2,,0.7,,irrational,10.0,9.0,8.0,7.0,6.0,3.0,2.0,5.0,1.0,4.0,b_and_c,rational,0,b_and_c,c_and_d,0.7,0.2,0.9,0.2,0.8,0.3,,0.9,,0.1,9,1,6,4,3,5,8,0,7,2,c,-0.4,0.5,0.1,0.9,-0.30000000000000004,0.4,,0.1,,0.9,8,3,7,4,5,0,1,2,6,9,b_and_c,0.5,0.1,0.6,0.3,irrational,0.39999999999999997,0.3,,0.7,,0.3,rational,9.0,4.0,,5.0,6.0,2.0,1.0,8.0,3.0,7.0,b_and_d,0,1,b_and_d,b_and_d,0.7,0.2,0.9,0.2,0.2,0.3,0.4,,0.2,,4,0,3,8,9,2,6,5,7,1,a_and_b,-0.1,0.2,0.1,0.9,0.0,0.3,0.3,,0.5,,7,0,5,2,8,3,1,6,4,9,a_and_b,irrational,irrational,039
39,irrational,irrational,irrational,left,art,m,rational,right,0.5,0.5,0.9,0.4,rational,0.19999999999999996,0.5,,0.6,,0.4,irrational,7.0,9.0,,3.0,8.0,6.0,4.0,5.0,2.0,1.0,a_and_b,irrational,0,a_and_b,d,0.7,0.2,0.9,0.2,0.0,0.5,0.5,,0.5,,6,0,5,9,4,2,7,8,1,3,a_and_b,-0.39999999999999997,0.9,0.3,0.7,0.09999999999999998,0.5,0.6,,0.6,,6,3,4,1,8,0,2,7,5,9,b_and_c,0.19999999999999996,0.5,0.7,0.6,irrational,0.29999999999999993,0.4,0.7,,0.5,,irrational,2.0,1.0,4.0,5.0,7.0,3.0,8.0,6.0,9.0,10.0,c_and_d,0,0,c_and_d,a_and_b,0.6000000000000001,0.3,0.9,0.3,0.2,0.3,,0.5,,0.7,9,1,7,5,2,3,6,0,8,4,c,-0.4,0.5,0.1,0.7,-0.4,0.5,,0.1,,0.5,9,6,4,0,3,5,1,7,2,8,a_and_d,,,040
40,rational,rational,irrational,left,art,f,rational,right,0.3,0.7,0.5,0.2,rational,0.19999999999999998,0.9,,0.3,,0.1,rational,4.0,7.0,,3.0,9.0,8.0,6.0,5.0,2.0,1.0,b_and_d,0,0,b_and_d,d,0.7,0.2,0.9,0.2,0.0,0.5,0.5,,0.6,,3,1,6,9,7,2,5,4,8,0,d,0.0,0.8,0.3,0.3,0.0,0.5,0.5,,0.8,,7,5,3,0,8,1,2,9,4,6,a_and_d,-0.2,0.5,0.3,0.7,rational,-0.29999999999999993,0.7,0.4,,0.9,,rational,7.0,1.0,4.0,2.0,8.0,5.0,3.0,10.0,6.0,9.0,b_and_d,rational,0,b_and_d,a_and_b,0.6000000000000001,0.3,0.9,0.3,0.5,0.4,,0.8,,0.3,9,0,7,2,4,1,5,8,6,3,a_and_b,-0.6000000000000001,0.9,0.2,0.8,-0.09999999999999998,0.3,,0.2,,0.5,8,3,5,2,6,4,0,9,1,7,b_and_d,,,041
41,,,rational,left,suspect,f,irrational,right,0.0,0.0,0.0,1.0,rational,0.8,0.0,0.8,,0.0,,irrational,5.0,8.0,10.0,6.0,2.0,3.0,1.0,4.0,7.0,9.0,a_and_c,irrational,0,a_and_c,b_and_d,0.7,0.2,0.9,0.3,0.5,0.4,,0.9,,0.6,8,1,0,3,2,6,9,5,7,4,a_and_c,-0.3,0.5,0.2,0.9,-0.4,0.5,,0.1,,0.6,8,7,4,0,5,1,2,6,3,9,a_and_d,0.20000000000000007,0.6,0.8,1.0,irrational,0.7,0.8,,0.9,,0.2,rational,5.0,3.0,,7.0,1.0,2.0,4.0,6.0,8.0,9.0,b_and_c,rational,0,b_and_c,b,0.7,0.2,0.9,0.3,-0.2,0.5,0.3,,0.5,,7,5,2,8,4,0,6,9,1,3,b_and_c,-0.19999999999999996,0.7,0.5,0.9,-0.2,0.4,0.2,,0.8,,7,5,3,1,6,0,2,8,4,9,b_and_c,irrational,irrational,042
42,,,rational,left,suspect,m,irrational,right,-0.19999999999999998,0.6,0.1,0.3,rational,0.1,0.9,0.2,,0.1,,rational,10.0,9.0,7.0,5.0,8.0,6.0,2.0,4.0,3.0,1.0,b_and_d,rational,0,b_and_d,d,0.7,0.2,0.9,0.2,0.29999999999999993,0.4,,0.7,,0.5,8,1,3,6,4,2,7,0,5,9,c,-0.8,0.9,0.1,0.9,-0.2,0.4,,0.2,,0.9,8,3,4,1,6,5,0,7,2,9,b_and_d,0.30000000000000004,0.1,0.4,0.8,irrational,-0.2,0.4,,0.2,,0.8,rational,8.0,7.0,,9.0,3.0,1.0,4.0,2.0,6.0,5.0,b_and_c,rational,1,b_and_c,b_and_c,0.6000000000000001,0.2,0.8,0.2,0.39999999999999997,0.5,0.6,,0.2,,6,1,7,8,9,4,3,0,5,2,c,-0.6,0.8,0.1,0.7,-0.2,0.5,0.3,,0.8,,6,5,1,2,7,0,4,8,3,9,b_and_c,irrational,irrational,043
43,,,rational,left,suspect,m,irrational,right,-0.09999999999999998,0.3,0.2,0.6,rational,-0.09999999999999998,0.6,0.5,,0.8,,rational,1.0,2.0,4.0,5.0,3.0,6.0,7.0,8.0,10.0,9.0,c_and_d,0,0,c_and_d,a,0.7,0.2,0.9,0.2,0.4,0.4,,0.8,,0.5,8,0,6,2,3,4,9,1,7,5,a_and_b,-0.4,0.5,0.1,0.9,-0.10000000000000003,0.4,,0.3,,0.8,8,0,1,4,7,5,2,6,3,9,a_and_b,0.4,0.4,0.8,0.6,irrational,0.2,0.6,,0.4,,0.2,irrational,4.0,8.0,,2.0,7.0,9.0,6.0,5.0,3.0,1.0,b_and_c,0,0,b_and_c,d,0.7,0.2,0.9,0.2,0.09999999999999998,0.5,0.6,,0.5,,7,0,5,9,6,1,2,8,4,3,a_and_b,-0.4,0.8,0.1,0.5,-0.09999999999999998,0.3,0.2,,0.8,,8,3,1,4,7,2,5,9,0,6,c_and_d,irrational,irrational,044
44,,,rational,left,suspect,m,irrational,right,0.8,0.0,0.8,0.3,rational,0.39999999999999997,0.2,0.6,,0.9,,rational,1.0,3.0,4.0,5.0,8.0,6.0,9.0,7.0,2.0,10.0,b_and_d,0,0,b_and_d,a,0.6000000000000001,0.3,0.9,0.3,0.3,0.3,,0.6,,0.7,8,0,9,3,1,5,7,6,4,2,a_and_b,-0.7000000000000001,0.9,0.1,0.8,0.0,0.4,,0.4,,0.9,7,4,5,2,6,0,3,8,1,9,b_and_c,0.6000000000000001,0.3,0.9,0.6,irrational,0.7,0.2,,0.9,,0.7,irrational,2.0,8.0,,6.0,1.0,7.0,9.0,5.0,3.0,4.0,b_and_c,rational,0,b_and_c,b,0.7,0.3,0.9,0.2,-0.09999999999999998,0.5,0.4,,0.7,,2,0,8,7,5,4,6,3,9,1,a_and_b,-0.6,0.9,0.1,0.7,-0.3,0.5,0.2,,0.8,,6,3,4,2,8,0,1,7,5,9,b_and_c,irrational,irrational,045
